ID,fakenews1,fakenews2,fakenews3,fnsce_press,fnsce_politician,fnsce_citizen,fnsce_enemy,fnsce_ngo,fnsce_mag,fnsce_tv,fnsce_internet,fnsce_mobile,fnsce_nbr,fndt_gov,fndt_con,fndt_dem,fndt_pln,fndt_press,fn_self,fn_other,fncheck_friend,fncheck_book,fncheck_expert,fncheck_factcheck,fnrespond1,fnrespond_2,fnrespond_3,fnrespond_4,fn_edu,v_o_1,v_o_2,v_o_3,v_o_4,v_o_5,v_o_6,fc,fc_usage,fc_power,tfc,tfc_power,fnresponsibility_src,fnresponsibility_press,fnresponsibility_official,fnresponsibility_platform,fnresponsibility_citizen,fnlaws,fn_gov,fn_tech,party,pan,city,sex,age,edu,job,job_other,incomelevel,classlevel,monthincome_self,monthincome_family,father,father_other,mother,mother_other,partner,partner_other,carlis,motorlis,CDC,vaccines,@2024president,dppscore,kmtscore,tppscore,nppscore,tspscore,pfpscore,npscore,tsaiscore,laiscore,chuscore,houscore,koscore,usascore,chinascore,taiwanese,chinese,ethic,sovereignty,cultrue,fakenews_indicator
VDQVUML,1,1,3,2,2,1,3,1,1,1,3,3,1,0,1,0,0,0,1,2,0,0,1,1,0,0,0,0,3,1,1,1,0,0,0,1,3.0,2.0,1,2.0,3,3,3,3,3,3,0,0,4.0,2,20,1,0,2,3,3,1.0,5.0,7,10,7,5,7,5,6,3,0,0,1,2,1.0,4.0,1.0,5.0,7.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,6.0,6.0,1.0,3,0,1,4,0,7.0
TCSRFAU,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,2,2,1,1,1,1,1,1,1,1,2,0,1,1,1,0,0,1,1.0,2.0,1,2.0,2,2,3,2,2,2,0,0,2.0,2,12,1,0,3,9,12,7.0,8.0,10,3,7,5,7,5,6,3,0,0,0,2,3.0,3.0,4.0,3.0,3.0,3.0,3.0,8.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,1,2,0,2,2,11.0
RJHYFYG,1,2,2,1,1,2,2,2,1,2,3,3,1,1,1,1,1,1,0,2,0,1,0,0,0,0,0,0,3,1,1,1,0,0,0,1,,2.0,0,,2,3,2,2,2,1,1,1,5.0,2,3,1,2,2,0,12,5.0,4.0,8,1,7,5,7,5,6,3,0,0,1,2,4.0,6.0,2.0,4.0,4.0,4.0,2.0,1.0,7.0,9.0,5.0,6.0,7.0,8.0,4.0,2,1,0,4,3,
YJYBBNI,1,1,3,3,2,2,3,1,2,2,3,3,1,2,2,2,2,2,0,2,1,0,1,1,1,1,1,1,3,0,1,1,0,1,1,1,1.0,1.0,0,,2,2,2,2,2,3,0,0,5.0,3,14,1,3,2,11,12,5.0,5.0,8,10,6,5,6,5,8,3,0,0,0,3,8.0,9.0,1.0,1.0,2.0,8.0,1.0,1.0,9.0,9.0,3.0,3.0,1.0,8.0,1.0,3,0,1,4,1,9.0
YDACDFS,0,1,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,2,0,0,0,0,1,0,0,0,2,1,1,1,0,0,0,1,,1.0,0,,2,2,2,2,2,2,0,0,6.0,2,10,1,2,2,12,12,3.0,3.0,7,6,7,5,7,5,6,3,0,0,1,3,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,7.0,7.0,4.0,5.0,5.0,4.0,2.0,1,0,0,3,1,
STIVWFL,0,1,0,2,3,3,2,2,3,3,1,2,2,2,2,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1.0,0.0,1,0.0,0,0,1,1,0,0,0,0,,2,6,1,1,0,12,12,4.0,2.0,7,6,6,5,7,5,6,3,1,1,1,0,9.0,3.0,6.0,8.0,3.0,3.0,8.0,3.0,3.0,7.0,3.0,8.0,4.0,3.0,4.0,2,2,0,3,1,11.0
THYZAEA,1,1,2,2,2,1,1,2,1,2,1,2,1,2,0,2,1,2,2,3,1,0,1,1,1,1,1,1,3,1,1,1,0,1,0,1,2.0,,1,,2,3,3,3,3,3,0,0,6.0,3,14,1,0,3,0,12,8.0,6.0,0,9,7,5,7,5,3,3,0,0,0,4,,1.0,9.0,5.0,1.0,1.0,1.0,3.0,6.0,7.0,4.0,9.0,6.0,9.0,4.0,3,2,1,3,0,11.0
GPWOLVJ,1,1,2,1,1,1,2,2,1,1,2,2,1,1,0,1,0,0,0,2,0,1,1,1,1,0,0,0,3,1,1,1,0,0,0,1,1.0,2.0,1,2.0,3,3,3,3,2,3,0,0,0.0,1,11,1,6,3,14,12,7.0,7.0,10,10,7,5,6,5,8,3,1,0,0,0,2.0,3.0,9.0,7.0,2.0,1.0,8.0,7.0,2.0,3.0,7.0,10.0,9.0,8.0,1.0,2,1,0,3,2,7.0
HRSXCNW,1,1,2,2,2,2,2,1,1,2,2,2,1,0,1,1,0,0,1,2,1,1,1,1,1,0,0,0,2,1,1,1,0,0,0,0,,2.0,0,,2,2,2,2,2,2,1,1,6.0,2,14,0,0,2,0,12,4.0,4.0,6,8,7,5,7,5,6,3,0,0,0,3,8.0,8.0,7.0,8.0,7.0,5.0,5.0,6.0,6.0,4.0,5.0,4.0,6.0,7.0,4.0,2,1,1,4,2,
UHYHFKA,1,1,3,2,2,1,3,2,2,2,2,2,2,1,1,1,0,0,1,2,0,0,0,1,1,1,1,1,3,1,1,1,0,0,0,1,2.0,2.0,1,2.0,2,3,2,3,2,2,0,0,1.0,2,11,1,0,2,8,12,3.0,3.0,6,1,7,5,7,5,6,3,0,0,0,3,1.0,5.0,1.0,6.0,6.0,6.0,1.0,3.0,6.0,5.0,4.0,5.0,8.0,10.0,2.0,3,0,1,4,2,9.0
TGQOCBR,1,2,3,2,3,1,3,3,1,1,3,2,1,0,1,0,0,0,2,2,1,0,0,0,1,0,0,0,3,1,1,1,0,1,0,1,,1.0,1,1.0,3,3,3,3,2,3,0,0,6.0,1,6,0,5,0,5,12,4.0,5.0,6,0,7,5,7,5,8,3,0,0,1,1,3.0,1.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,6.0,4.0,5.0,2,1,0,2,2,
EAYAZLJ,1,1,2,2,2,1,2,2,2,2,2,2,2,0,1,1,0,0,2,2,1,1,1,1,1,1,0,0,3,0,1,1,0,0,0,1,1.0,2.0,1,2.0,2,2,2,2,2,2,0,0,6.0,2,1,0,0,2,3,3,3.0,6.0,7,8,7,5,7,5,6,3,1,0,1,2,4.0,6.0,3.0,6.0,5.0,3.0,2.0,1.0,8.0,8.0,8.0,7.0,7.0,7.0,4.0,2,1,0,4,2,9.0
FDTATDX,1,2,2,2,2,1,2,1,2,2,3,2,1,0,0,1,0,0,2,2,0,0,1,0,0,0,0,0,3,1,1,1,0,1,0,0,,2.0,0,,3,3,3,2,2,3,0,0,6.0,2,1,0,3,2,0,12,2.0,2.0,6,8,7,5,7,5,6,3,1,0,1,2,1.0,5.0,3.0,4.0,6.0,3.0,2.0,1.0,6.0,6.0,3.0,3.0,6.0,6.0,3.0,2,0,1,4,1,
DSULGMX,1,2,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,0,1,3,1,1,1,1,1,1,1,0,3,1,1,1,0,0,1,1,1.0,2.0,1,2.0,3,3,3,3,3,2,1,1,6.0,2,14,0,5,2,7,12,4.0,4.0,6,6,7,5,7,5,6,3,0,1,1,3,8.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,4.0,1.0,3.0,2.0,10.0,1.0,3,0,1,4,2,10.0
EUTOUTL,1,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,3,3,1,0,0,0,1,0,0,0,3,0,1,1,0,0,0,1,1.0,0.0,1,0.0,3,3,3,3,3,3,0,0,0.0,0,2,0,3,3,1,12,4.0,4.0,8,8,7,5,7,5,8,3,1,1,0,3,3.0,1.0,10.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,5.0,1.0,10.0,0,3,0,3,3,5.0
JEGETGW,1,2,2,2,1,2,1,2,1,2,3,3,1,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,3,1,1,1,0,0,0,1,,2.0,0,,3,3,2,3,2,2,0,0,6.0,2,3,0,0,2,8,12,2.0,5.0,6,9,7,5,7,5,6,3,1,0,1,3,7.0,5.0,1.0,4.0,2.0,2.0,2.0,2.0,5.0,5.0,3.0,4.0,3.0,6.0,2.0,3,1,1,4,1,
KLZXHYF,1,1,2,2,2,1,2,2,2,2,2,2,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,1.0,1.0,0,,3,3,3,3,2,3,0,1,0.0,1,10,0,3,2,5,12,1.0,1.0,7,7,7,5,7,5,8,3,0,0,1,3,2.0,5.0,10.0,5.0,1.0,1.0,3.0,5.0,1.0,2.0,8.0,10.0,7.0,6.0,1.0,2,0,0,4,2,1.0
NXRLHLJ,1,1,2,2,2,1,2,1,1,2,3,3,2,0,0,0,0,0,1,2,1,0,1,1,1,1,0,0,3,1,0,1,0,0,0,1,1.0,2.0,1,2.0,3,3,3,2,2,3,1,0,6.0,2,11,1,4,4,0,12,4.0,3.0,6,8,7,5,7,5,6,3,0,0,0,2,2.0,3.0,2.0,5.0,7.0,5.0,4.0,4.0,5.0,3.0,5.0,8.0,7.0,10.0,1.0,3,0,0,4,1,8.0
AUQIJNE,1,1,3,3,3,1,2,3,2,2,2,2,1,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,3,1,0,0,0,1,0,1,1.0,0.0,1,1.0,3,3,3,3,2,0,1,1,5.0,3,3,0,3,2,0,12,3.0,3.0,8,8,7,5,7,5,8,3,0,0,0,4,0.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,8.0,8.0,3.0,3.0,4.0,7.0,3.0,2,1,0,4,1,6.0
MQOFWKI,1,1,2,2,2,2,2,2,2,1,1,2,1,1,1,0,1,1,2,2,1,1,0,1,1,1,0,1,2,1,1,1,0,0,0,1,1.0,2.0,1,2.0,1,2,2,1,2,2,1,1,2.0,2,8,1,0,3,1,12,6.0,5.0,9,2,7,5,6,5,6,3,0,0,0,2,4.0,8.0,1.0,3.0,3.0,2.0,3.0,2.0,7.0,8.0,5.0,5.0,7.0,9.0,2.0,2,1,1,4,0,9.0
WLZKPEJ,1,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2,2,1,0,0,0,1,1,1,1,3,1,1,1,0,0,0,1,1.0,2.0,1,2.0,2,2,2,2,2,2,0,0,5.0,2,2,0,3,3,0,12,7.0,8.0,8,1,7,5,7,5,8,3,0,1,0,3,2.0,9.0,5.0,6.0,5.0,7.0,6.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,2,1,1,4,1,8.0
BNTKEQO,1,2,3,2,3,1,1,1,0,2,2,1,1,0,1,1,0,0,2,2,1,0,1,0,1,0,0,0,3,1,1,1,0,0,0,0,,2.0,1,2.0,3,3,2,3,2,3,0,0,6.0,2,2,0,10,1,5,12,3.0,5.0,7,10,0,5,0,5,7,3,1,1,1,1,4.0,8.0,1.0,1.0,3.0,10.0,5.0,1.0,10.0,9.0,2.0,5.0,1.0,8.0,2.0,2,1,0,3,2,
YEOXCOO,1,3,2,3,3,1,3,3,3,3,3,3,1,0,1,0,0,0,2,3,1,1,1,0,0,0,0,0,3,1,1,1,0,1,1,0,,2.0,0,,3,3,3,3,2,2,1,1,5.0,2,9,0,0,2,0,12,5.0,5.0,8,10,7,5,7,5,6,3,0,0,1,3,1.0,3.0,1.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,2.0,5.0,6.0,5.0,1.0,3,0,1,4,2,
FZYVTFU,1,1,3,2,2,1,2,2,2,2,2,2,2,0,0,0,0,0,3,3,1,0,1,1,1,0,1,0,3,1,0,0,0,1,0,0,,1.0,0,,3,3,3,3,2,3,1,0,2.0,1,10,0,3,2,5,12,1.0,1.0,7,7,7,5,7,5,8,3,0,0,1,3,2.0,1.0,10.0,5.0,1.0,1.0,4.0,2.0,1.0,2.0,7.0,10.0,6.0,5.0,1.0,2,0,0,4,2,
GHHVAOS,1,1,3,1,1,2,2,1,1,1,3,2,1,0,0,0,0,0,1,2,1,1,0,1,1,0,0,0,3,1,1,1,0,0,0,1,1.0,2.0,1,2.0,3,3,2,3,2,2,0,0,2.0,2,2,0,0,2,3,3,3.0,5.0,7,1,7,5,7,5,6,3,0,0,1,2,1.0,5.0,3.0,9.0,3.0,2.0,3.0,3.0,5.0,4.0,2.0,5.0,8.0,6.0,1.0,3,1,0,4,1,7.0
HXJTMXG,1,1,2,2,2,1,1,1,1,2,2,2,1,0,0,0,0,1,2,2,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,1,1.0,2.0,0,,2,2,3,3,2,2,0,0,6.0,1,1,1,5,3,6,12,3.0,3.0,8,9,5,5,7,5,8,3,0,0,0,2,1.0,3.0,4.0,6.0,3.0,3.0,3.0,4.0,2.0,5.0,5.0,7.0,7.0,5.0,6.0,2,3,0,3,3,3.0
ECUAJFW,1,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,1,1,1,1,1,0,,1.0,0,,2,2,2,2,2,2,1,1,0.0,0,11,1,8,2,9,12,6.0,5.0,6,9,7,5,7,5,8,3,0,0,1,1,2.0,1.0,8.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,8.0,9.0,6.0,5.0,1.0,2,1,0,3,1,
JFCOGEY,1,1,2,1,2,1,1,1,1,2,2,2,1,2,1,1,0,0,1,2,1,0,1,1,1,1,0,0,3,1,1,0,1,0,0,1,1.0,2.0,1,,2,2,2,3,1,2,1,0,5.0,2,15,0,1,2,11,12,6.0,7.0,8,1,7,5,7,5,6,3,0,0,0,3,2.0,7.0,2.0,4.0,5.0,3.0,2.0,1.0,7.0,8.0,3.0,7.0,4.0,7.0,3.0,2,1,0,3,2,8.0
KRJBGRC,1,2,2,1,2,2,2,2,2,2,2,2,2,0,0,1,1,0,2,2,0,0,0,0,1,1,0,0,2,1,1,1,0,1,0,1,1.0,1.0,1,0.0,2,2,2,2,2,2,0,0,6.0,2,10,0,8,0,4,12,5.0,6.0,6,8,6,5,6,5,8,3,1,0,1,2,,4.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,4.0,5.0,4.0,3,1,1,3,2,5.0
WVQHXJR,1,2,3,3,3,1,3,1,2,2,3,3,1,2,2,1,2,2,2,2,1,1,1,1,1,0,1,0,3,1,0,1,0,0,0,1,1.0,2.0,1,2.0,3,3,3,3,3,3,0,0,6.0,2,10,0,4,4,8,12,2.0,2.0,6,6,7,5,7,5,6,3,1,0,1,0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,6.0,4.0,5.0,1.0,3,1,1,4,1,9.0
FBXZYLH,1,2,3,1,2,1,2,3,2,1,2,2,2,2,1,2,1,1,0,2,0,1,1,1,1,0,0,1,3,1,1,1,1,0,0,1,1.0,2.0,1,2.0,3,3,3,3,2,3,0,0,6.0,3,3,1,6,2,8,12,8.0,8.0,9,0,7,5,7,5,8,3,0,0,0,3,2.0,6.0,2.0,1.0,7.0,6.0,1.0,1.0,5.0,3.0,3.0,7.0,1.0,6.0,1.0,2,1,1,4,1,8.0
TRBAHTU,1,1,2,2,2,1,1,1,2,1,2,2,1,1,0,1,0,0,2,2,1,0,1,1,1,0,0,0,3,0,0,1,1,0,0,1,1.0,2.0,1,2.0,2,2,3,3,2,2,0,0,0.0,1,14,0,3,2,5,12,2.0,3.0,7,8,7,5,7,5,8,3,0,0,1,3,8.0,8.0,6.0,5.0,4.0,4.0,4.0,4.0,7.0,5.0,5.0,6.0,6.0,7.0,4.0,2,1,1,4,1,7.0
YFQXJQM,1,1,3,1,2,1,3,1,1,2,3,3,2,0,1,0,0,0,1,3,1,0,1,1,1,0,0,0,3,1,1,1,0,0,0,1,1.0,,1,,3,3,3,2,3,3,1,0,6.0,1,11,0,0,2,3,3,4.0,4.0,6,8,0,5,7,5,6,3,1,1,1,0,8.0,5.0,7.0,4.0,9.0,1.0,9.0,2.0,4.0,5.0,1.0,7.0,5.0,7.0,1.0,3,0,1,4,2,7.0
YVXNPOA,1,2,2,2,2,1,2,1,1,1,2,1,1,0,0,1,0,0,2,2,1,1,1,0,1,0,0,0,2,1,1,1,0,0,0,1,1.0,1.0,1,2.0,2,2,2,2,1,1,1,1,6.0,2,14,0,3,3,4,12,2.0,4.0,7,7,7,5,6,5,6,3,0,0,0,3,4.0,6.0,4.0,3.0,8.0,5.0,3.0,2.0,8.0,8.0,5.0,6.0,7.0,6.0,2.0,3,0,1,4,2,7.0
PYJPTQH,1,1,3,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,3,1,1,1,1,1,1,0,0,3,1,1,1,0,0,0,1,1.0,2.0,0,,3,3,3,3,3,2,0,0,5.0,3,11,0,9,0,5,12,5.0,5.0,7,8,6,5,6,5,7,3,0,0,1,4,4.0,7.0,3.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,5.0,5.0,5.0,6.0,2.0,2,0,1,4,1,8.0
SWOYIHD,1,1,3,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,3,1,1,1,1,1,1,0,0,3,1,1,1,0,0,0,1,1.0,2.0,0,,3,3,3,3,3,3,0,0,5.0,3,11,1,9,0,8,12,5.0,5.0,6,8,6,5,6,5,7,3,0,0,1,1,4.0,7.0,3.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,5.0,4.0,4.0,7.0,1.0,2,0,1,4,1,8.0
YQYOGIB,1,1,3,2,2,1,2,1,1,2,2,2,1,1,1,1,0,0,2,3,1,1,0,0,1,0,0,0,3,1,1,1,0,0,0,1,,2.0,1,2.0,3,3,3,3,2,2,0,0,5.0,2,11,0,1,2,8,12,2.0,5.0,7,7,7,5,0,5,6,3,1,0,1,3,7.0,7.0,1.0,4.0,4.0,4.0,2.0,1.0,7.0,5.0,1.0,2.0,3.0,6.0,1.0,3,0,1,4,2,
LODWMIG,1,1,2,2,2,2,2,2,2,2,2,2,1,0,1,1,0,0,2,2,1,1,1,1,1,1,0,0,3,0,1,1,0,0,0,0,,2.0,1,2.0,3,3,3,3,2,2,1,1,6.0,2,17,0,0,2,0,12,6.0,6.0,8,8,6,5,6,5,6,3,0,0,1,3,1.0,8.0,3.0,8.0,9.0,4.0,4.0,4.0,8.0,4.0,5.0,5.0,7.0,7.0,2.0,2,0,1,4,1,
ALSTFPG,1,3,3,3,2,2,2,2,2,2,3,3,2,0,0,1,0,0,2,3,1,0,1,0,1,1,1,0,3,0,0,1,0,0,0,1,2.0,2.0,1,2.0,2,2,2,2,2,3,0,0,6.0,2,10,1,9,4,4,12,2.0,2.0,6,8,7,5,7,5,6,3,0,0,1,3,4.0,6.0,1.0,2.0,4.0,5.0,3.0,1.0,5.0,5.0,3.0,3.0,3.0,5.0,1.0,3,0,1,4,2,9.0
ORLAUZA,0,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,0,0,1,2,1,1,0,1,1,0,0,0,3,1,1,1,0,0,0,1,1.0,2.0,0,,2,3,2,3,2,2,0,1,6.0,2,1,1,0,3,3,3,5.0,8.0,7,6,7,5,7,5,6,3,1,0,1,2,4.0,5.0,3.0,5.0,5.0,5.0,2.0,5.0,8.0,8.0,5.0,4.0,6.0,8.0,6.0,3,2,1,3,3,6.0
LUYZMVD,1,2,2,1,1,2,2,2,1,1,3,3,1,0,0,0,0,0,2,3,1,0,1,1,1,0,0,0,3,1,1,1,0,0,0,1,2.0,2.0,1,2.0,3,3,3,3,3,3,0,0,6.0,2,1,0,4,2,5,12,1.0,2.0,7,7,7,5,7,5,6,3,0,0,0,3,1.0,6.0,7.0,8.0,7.0,5.0,5.0,5.0,6.0,8.0,8.0,8.0,8.0,9.0,9.0,2,2,0,3,3,8.0
AZGNRFJ,1,2,3,3,3,2,3,3,3,2,3,3,1,0,0,1,0,0,2,3,1,1,1,1,1,1,0,0,2,1,1,1,0,0,0,1,2.0,2.0,1,2.0,3,3,3,3,2,2,0,1,6.0,3,2,1,3,3,0,12,6.0,6.0,8,10,7,5,7,5,8,3,0,0,1,3,1.0,3.0,3.0,7.0,6.0,5.0,2.0,1.0,3.0,3.0,3.0,5.0,7.0,7.0,1.0,3,0,0,4,2,10.0
HAZCJXH,1,1,2,1,2,2,1,1,1,2,2,2,2,1,0,1,0,0,2,2,0,0,0,0,1,1,0,0,2,1,1,1,0,0,0,1,1.0,2.0,0,,3,3,3,2,2,2,0,0,6.0,3,11,0,4,2,0,12,4.0,3.0,8,0,7,5,7,5,8,3,0,0,0,2,4.0,6.0,1.0,2.0,3.0,3.0,2.0,2.0,6.0,7.0,2.0,3.0,2.0,5.0,1.0,2,1,1,4,1,4.0
FQZDBIX,1,1,2,1,1,2,1,1,1,1,2,2,1,0,0,0,0,0,2,2,1,1,0,1,1,1,1,1,2,1,0,0,0,0,1,0,,2.0,0,,2,2,2,2,2,2,0,0,6.0,1,10,1,3,0,7,12,6.0,4.0,6,9,7,5,7,5,6,3,0,0,0,3,2.0,4.0,6.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,7.0,6.0,7.0,4.0,2,1,0,3,2,
EBZBRJT,1,1,2,3,2,1,2,1,2,2,2,2,1,0,0,0,0,0,2,2,1,0,0,1,1,0,0,0,3,1,1,0,0,1,0,1,1.0,2.0,1,2.0,3,3,3,3,3,2,0,0,6.0,2,20,1,10,0,4,12,3.0,4.0,7,6,7,5,7,5,8,3,1,0,1,1,7.0,9.0,1.0,4.0,4.0,3.0,1.0,1.0,8.0,8.0,5.0,4.0,5.0,7.0,3.0,0,0,1,3,2,6.0
